Region Code;Region Name;Country Code;Country Name;Year;Sex;Age group code;Age Group;Number;Percentage of cause-specific deaths out of total deaths;Age-standardized death rate per 100 000 standard population;Death rate per 100 000 population
EU;Europe;POL;Poland;1990;Female;Age_all;[All];70.00000000;0.03908278;0.36501683;0.35822484
EU;Europe;POL;Poland;1991;Female;Age_all;[All];70.00000000;0.03760388;0.38534270;0.35694253
EU;Europe;POL;Poland;1992;Female;Age_all;[All];51.00000000;0.02802198;0.28573854;0.25916083
EU;Europe;POL;Poland;1993;Female;Age_all;[All];58.00000000;0.03159041;0.31478762;0.29392388
EU;Europe;POL;Poland;1994;Female;Age_all;[All];53.00000000;0.02918052;0.29923787;0.26794200
EU;Europe;POL;Poland;1995;Female;Age_all;[All];43.00000000;0.02383618;0.23525609;0.21708072
EU;Europe;POL;Poland;1996;Female;Age_all;[All];21.00000000;0.01153764;0.11480483;0.10590656
EU;Europe;POL;Poland;1999;Female;Age_all;[All];20.00000000;0.01127402;0.11161115;0.10068009
EU;Europe;POL;Poland;2000;Female;Age_all;[All];30.00000000;0.01737740;0.16666706;0.15217534
EU;Europe;POL;Poland;2001;Female;Age_all;[All];13.00000000;0.00763094;0.07178525;0.06593013
EU;Europe;POL;Poland;2002;Female;Age_all;[All];19.00000000;0.01132091;0.10739984;0.09637272
EU;Europe;POL;Poland;2003;Female;Age_all;[All];14.00000000;0.00817184;0.07741373;0.07105796
EU;Europe;POL;Poland;2004;Female;Age_all;[All];17.00000000;0.01006900;0.09196937;0.08628618
EU;Europe;POL;Poland;2005;Female;Age_all;[All];11.00000000;0.00641403;0.06051966;0.05583591
EU;Europe;POL;Poland;2006;Female;Age_all;[All];11.00000000;0.00641819;0.06052411;0.05584840
EU;Europe;POL;Poland;2007;Female;Age_all;[All];11.00000000;0.00628604;0.05960897;0.05584070
EU;Europe;POL;Poland;2008;Female;Age_all;[All];19.00000000;0.01073095;0.09942826;0.09640998
EU;Europe;POL;Poland;2009;Female;Age_all;[All];8.00000000;0.00441711;0.04237251;0.04054730
EU;Europe;POL;Poland;2010;Female;Age_all;[All];9.00000000;0.00503792;0.05005750;0.04587142
EU;Europe;POL;Poland;2011;Female;Age_all;[All];9.00000000;0.00507548;0.05092951;0.04585241
EU;Europe;POL;Poland;2012;Female;Age_all;[All];4.00000000;0.00218945;0.02029381;0.02037181
EU;Europe;POL;Poland;2013;Female;Age_all;[All];7.00000000;0.00377123;0.03633712;0.03567696
EU;Europe;POL;Poland;2014;Female;Age_all;[All];8.00000000;0.00442782;0.04376957;0.04079825
EU;Europe;POL;Poland;2015;Female;Age_all;[All];6.00000000;0.00315040;0.03084497;0.03061722
EU;Europe;POL;Poland;2016;Female;Age_all;[All];9.00000000;0.00484238;0.04818272;0.04595095
EU;Europe;POL;Poland;2017;Female;Age_all;[All];9.00000000;0.00461110;0.05279542;0.04594437
EU;Europe;POL;Poland;2018;Female;Age_all;[All];5.00000000;0.00249311;0.02569992;0.02553613
EU;Europe;POL;Poland;2019;Female;Age_all;[All];4.00000000;0.00201729;0.02263649;0.02042890
EU;Europe;POL;Poland;2020;Female;Age_all;[All];9.00000000;0.00395411;0.05188990;0.04598475
